#|num|weight|mean|covariance matrix|
|0|0.011354939972|91.052264961272 131.054119052346 94.404679004328|40.524720429408 -11.901297838302 8.883189838365 -11.901297838302 66.805736694729 40.979816041647 8.883189838365 40.979816041647 57.033081371783|
|1|0.016513444616|111.405744683152 78.842090477818 120.886864931635|80.760455375248 57.117430504371 -8.467126517678 57.117430504371 84.351279005429 21.148309469418 -8.467126517678 21.148309469418 80.207065697427|
|2|0.020828665422|119.390126593860 101.804649941236 80.330807032646|91.456491628509 -13.830247967049 29.814878142817 -13.830247967049 29.136420540181 5.370248817507 29.814878142817 5.370248817507 146.451712982029|
|3|0.011656344545|119.959113653802 89.372506697249 53.359068823934|52.392355557509 -12.474059133285 -4.960016888097 -12.474059133285 50.071343999086 8.421673861723 -4.960016888097 8.421673861723 29.578320321294|
|4|0.012957125239|101.413538917325 133.840417224633 114.628544388288|82.524382286063 -37.114077831971 26.495647400614 -37.114077831971 39.693900706534 -8.641694967500 26.495647400614 -8.641694967500 62.789146752095|
|5|0.016282189094|102.469633828512 60.316173322884 128.404364183488|42.902075697079 -23.175957668360 -3.699745503880 -23.175957668360 88.091867439725 -18.309011206004 -3.699745503880 -18.309011206004 41.691315926011|
|6|0.036930185971|85.596221280387 62.750834342524 75.716872777441|94.128669646338 6.638647728577 -22.489952082699 6.638647728577 56.169576320651 17.370136965882 -22.489952082699 17.370136965882 76.091151944598|
|7|0.013901351235|73.970328489138 53.619804223925 68.731681673941|73.987421150447 -24.635560692345 -18.587472560779 -24.635560692345 36.443535139801 -0.680151923107 -18.587472560779 -0.680151923107 58.419277538103|
|8|0.006216527286|112.381038765593 97.711468116476 141.704280956059|57.837068484190 5.994807276185 -15.083571736082 5.994807276185 41.127518665455 -3.275225334808 -15.083571736082 -3.275225334808 28.420775830375|
|9|0.021177233597|101.244764680190 121.513313113338 101.428550836784|124.832559915945 -52.642293673496 1.790732941323 -52.642293673496 76.303153162047 31.758580713564 1.790732941323 31.758580713564 58.722451219717|
|10|0.016548158916|97.129744623824 95.731262325427 50.534382395284|102.932076370133 -34.405872922722 10.623567432138 -34.405872922722 136.522997201788 -19.268970875458 10.623567432138 -19.268970875458 15.838317048865|
|11|0.033501724814|116.900625475785 91.534149651202 98.881454238698|68.069077801727 16.088033361026 -20.959939994313 16.088033361026 34.881448228318 -8.249015312907 -20.959939994313 -8.249015312907 253.810767596799|
|12|0.021238333663|102.370806551924 106.234009114230 131.639846699613|45.176246453446 5.985131530009 -8.953603123109 5.985131530009 138.551995525157 -18.105316991419 -8.953603123109 -18.105316991419 51.397821817376|
|13|0.015585318237|90.227969070474 116.258580245005 67.572518648974|66.536957013419 -22.578189697231 14.778635898585 -22.578189697231 33.936092760268 -13.856663403452 14.778635898585 -13.856663403452 101.272568145119|
|14|0.011452635925|60.020493737927 69.734370824037 61.124653506391|29.375843977420 -10.043063997233 -14.652173390454 -10.043063997233 69.868529086683 -24.254469158534 -14.652173390454 -24.254469158534 61.600582861255|
|15|0.010768245933|121.197276534251 112.764874190673 108.337162562304|129.428732096196 -52.916763497124 -65.465888797547 -52.916763497124 49.707819684982 24.028890676982 -65.465888797547 24.028890676982 66.824317912726|
|16|0.008288048307|103.567566008698 42.121254937157 125.861010266305|50.722276497489 3.239679932412 -1.775170901943 3.239679932412 26.894860309138 7.668100394829 -1.775170901943 7.668100394829 49.854806793315|
|17|0.028384270745|80.214299776093 131.123393952511 108.969532761206|53.994557556179 10.860560808094 -5.735883336400 10.860560808094 53.563534380235 8.770830708208 -5.735883336400 8.770830708208 58.772125448866|
|18|0.019210206021|112.146068104638 82.872793854491 66.931892868083|86.724604209183 40.486271161404 -12.774949402386 40.486271161404 65.372550982566 2.438790570567 -12.774949402386 2.438790570567 64.235410251546|
|19|0.005215185185|89.507564068232 75.092606729788 132.369391584659|36.948507080951 30.982572155717 24.046111591781 30.982572155717 70.265013809209 30.539125874180 24.046111591781 30.539125874180 50.619234480502|
|20|0.007783050896|108.281161060989 65.318120161077 66.468854262639|98.971301489568 93.093039777124 -34.934397174199 93.093039777124 118.277284899293 -31.566480813585 -34.934397174199 -31.566480813585 42.463530988235|
|21|0.033200039282|114.476755062580 102.025760614548 110.692499528565|85.935491316552 -9.564751332235 -31.244656401010 -9.564751332235 42.684578772851 -10.679156489463 -31.244656401010 -10.679156489463 157.788545915824|
|22|0.009905976066|70.192624549805 117.621882864265 114.117521113633|26.086197203917 -2.306138732052 30.039466341334 -2.306138732052 40.722184907572 18.729833937001 30.039466341334 18.729833937001 103.854001212576|
|23|0.041538716217|81.752795071110 117.126188134573 97.459835066105|57.738485658560 12.976044653240 25.118660040097 12.976044653240 56.630257154558 22.310779378671 25.118660040097 22.310779378671 179.207659364229|
|24|0.020294957702|89.527029472648 130.130317250682 127.139795782472|77.823562778516 -15.676509772395 15.890821875042 -15.676509772395 50.849435975233 -26.036853438374 15.890821875042 -26.036853438374 52.476768534974|
|25|0.015567999117|64.357851323853 62.544535971275 88.309236677660|42.700460835015 -5.081905858325 17.056459502404 -5.081905858325 41.144281546133 15.532745756363 17.056459502404 15.532745756363 75.675083300167|
|26|0.013302995060|73.670490186520 128.367586331958 95.650243366877|39.660462905324 26.931449613017 -0.737542692973 26.931449613017 80.668162046521 54.724844269820 -0.737542692973 54.724844269820 95.670778428579|
|27|0.033307514764|74.008015403264 100.255193929070 69.144013279231|70.279832085095 35.930805373328 -17.714203710932 35.930805373328 104.814080059921 -6.298694739719 -17.714203710932 -6.298694739719 85.014323010020|
